质量_A
t	x	y	v_{x}	v_{y}	v
6.866666667E0	5.018543850E-2	-4.353662516E-2	2.423515238E-1	-3.418231596E-1	4.190194907E-1
6.900000000E0	5.738795232E-2	-5.010517493E-2	2.160283657E-1	-1.936938328E-1	2.901474723E-1
6.933333333E0	6.458732955E-2	-5.644954734E-2	2.596806443E-1	-1.512530844E-1	3.005187724E-1
6.966666667E0	7.469999528E-2	-6.018871389E-2	5.257976678E-2	-1.348605225E-1	1.447480307E-1
7.000000000E0	6.809264734E-2	-6.544024884E-2	1.695487586E-1	-8.258069402E-2	1.885904360E-1
7.033333333E0	8.600324585E-2	-6.569409349E-2	3.349795663E-1	5.584633619E-2	3.396028903E-1
7.066666667E0	9.042461842E-2	-6.171715976E-2	4.496371025E-2	9.185801427E-2	1.022723326E-1
7.100000000E0	8.900082653E-2	-5.957022587E-2	-1.076632889E-2	1.069487037E-1	1.074892509E-1
7.133333333E0	8.970686316E-2	-5.458724619E-2	-9.991451030E-3	1.596284038E-1	1.599407902E-1
7.166666667E0	8.833472980E-2	-4.892833229E-2	-6.320031873E-2	1.901279705E-1	2.003569950E-1
7.200000000E0	8.549350858E-2	-4.191204815E-2	-1.077571313E-1	2.390288630E-1	2.621953407E-1
7.233333333E0	8.115092104E-2	-3.299307475E-2	-1.118525709E-1	2.318153266E-1	2.573894778E-1
7.266666667E0	7.803667052E-2	-2.645769305E-2	-1.725490923E-1	2.058906263E-1	2.686338386E-1
7.300000000E0	6.964764822E-2	-1.926703300E-2	-2.290328408E-1	3.247991451E-1	3.974299018E-1
7.333333333E0	6.276781446E-2	-4.804416706E-3	-2.430690499E-1	3.211076465E-1	4.027315280E-1
7.366666667E0	5.344304489E-2	2.140143433E-3	-2.206731728E-1	3.079033605E-1	3.788154282E-1
7.400000000E0	4.805626961E-2	1.572247400E-2	-1.657986112E-1	2.098389699E-1	2.674351749E-1
7.433333333E0	4.238980414E-2	1.612940810E-2	-1.388493419E-1	1.055632353E-1	1.744211466E-1
7.466666667E0	3.879964682E-2	2.276002301E-2	1.195226550E-1	9.346707548E-2	1.517292301E-1
7.500000000E0	5.035798114E-2	2.236054646E-2	1.755246138E-1	-1.229250271E-3	1.755289181E-1
7.533333333E0	5.050128774E-2	2.267807300E-2	3.768648529E-2	-1.730421710E-2	4.146935136E-2
7.566666667E0	5.287041350E-2	2.120693199E-2	-7.581848430E-2	-4.005415175E-2	8.574833896E-2
7.600000000E0	4.544672212E-2	2.000779621E-2	9.424196327E-2	-2.507421165E-2	9.752058107E-2
7.633333333E0	5.915321105E-2	1.953531788E-2	1.225292312E-1	-2.438629992E-1	2.729149591E-1
7.666666667E0	5.361533753E-2	3.750262931E-3	5.199189434E-2	-3.421168164E-1	3.460449004E-1
7.700000000E0	6.261933734E-2	-3.272469879E-3			
7.733333333E0		-4.021763393E-3		-2.519174161E-1	
7.766666667E0	7.232142857E-2	-2.006696429E-2			
7.800000000E0	7.545349457E-2	-2.416851981E-2	1.201339286E-1	-1.201339286E-1	1.698950311E-1
7.833333333E0	8.033035714E-2	-2.807589286E-2	1.747909349E-1	-2.153012786E-1	2.773202327E-1
7.866666667E0	8.710622357E-2	-3.852193838E-2	1.314110154E-1	-2.492995303E-1	2.818139649E-1
7.900000000E0	8.909109150E-2	-4.469586155E-2	2.153243662E-2	-1.856078508E-1	1.868526695E-1
7.933333333E0	8.854171934E-2	-5.089579510E-2	-8.760653759E-2	-2.475759812E-1	2.626190624E-1
7.966666667E0	8.325065566E-2	-6.120092696E-2	-1.118087232E-1	-2.288444176E-1	2.546977779E-1
8.000000000E0	8.108780447E-2	-6.615208961E-2	5.882800271E-3	-4.046904576E-2	4.089438841E-2
8.033333333E0	8.364284235E-2	-6.389886335E-2	3.757717433E-2	1.643692555E-1	1.686098935E-1
8.066666667E0	8.359294942E-2	-5.519413924E-2	-1.154306271E-1	2.398975707E-1	2.662237295E-1
8.100000000E0	7.594746721E-2	-4.790569196E-2	-4.052848367E-1	1.314544700E-1	4.260705066E-1
8.133333333E0	5.657396031E-2	-4.643050791E-2	-2.798182641E-1	6.227393211E-2	2.866640953E-1
8.166666667E0	5.729291627E-2	-4.375409649E-2	-7.405778529E-2	1.522844737E-1	1.693372862E-1
