质量_A
t	x	y	v	v_{y}	v_{x}
5.566666667E0	2.972196691E-2	-3.578680432E-2			
5.600000000E0		-5.460978491E-2		-2.757898469E-1	
5.633333333E0	1.808823529E-2	-5.417279412E-2			
5.666666667E0	1.206341912E-2	-5.926614563E-2	2.552466737E-1	-2.284168156E-1	-1.139149805E-1
5.700000000E0	1.049390326E-2	-6.940058182E-2	1.099726887E-1	-9.672915321E-2	5.232077206E-2
5.733333333E0	1.555147059E-2	-6.571475584E-2	2.035148477E-1	2.025887257E-1	-1.939333515E-2
5.766666667E0	9.201014252E-3	-5.589466677E-2	3.064156113E-1	3.062116019E-1	-1.117952292E-2
5.800000000E0	1.480616906E-2	-4.530064905E-2	2.784009610E-1	2.194149465E-1	1.713597862E-1
5.833333333E0	2.062500000E-2	-4.126700368E-2	2.436884141E-1	1.626065091E-1	1.815025244E-1
5.866666667E0	2.690633735E-2	-3.446021511E-2	3.001534282E-1	2.039654958E-1	2.202048069E-1
5.900000000E0	3.530532046E-2	-2.766930396E-2	3.160189208E-1	1.971842270E-1	2.469541230E-1
5.933333333E0	4.336994555E-2	-2.131459998E-2	2.810137397E-1	1.911702463E-1	2.059676160E-1
5.966666667E0	4.903649486E-2	-1.492462087E-2	2.045174161E-1	1.540020879E-1	1.345761138E-1
6.000000000E0	5.234168647E-2	-1.104779412E-2	1.063187324E-1	5.538151352E-2	9.075550018E-2
6.033333333E0	5.508686154E-2	-1.123251997E-2			
6.066666667E0		-1.101997581E-2		3.530765248E-2	
6.100000000E0	5.073529412E-2	-8.878676471E-3			
6.133333333E0	4.960478266E-2	-1.140039200E-2	2.052516562E-1	-1.852684794E-1	-8.833930556E-2
6.166666667E0	4.484600708E-2	-2.122990843E-2	4.570856340E-1	-4.001377385E-1	-2.209458464E-1
6.200000000E0	3.487505956E-2	-3.807624123E-2	4.394254248E-1	-3.126406644E-1	-3.087887933E-1
6.233333333E0	2.426008752E-2	-4.207261939E-2	3.573063844E-1	-2.684619357E-1	-2.357881282E-1
6.266666667E0	1.915585101E-2	-5.597370361E-2	2.219809415E-1	-2.085154323E-1	-7.613706654E-2
6.300000000E0	1.918428309E-2	-5.597364821E-2	5.158553425E-2	-3.604789500E-2	-3.690008957E-2
6.333333333E0	1.669584504E-2	-5.837689661E-2	2.117819692E-1	-1.063845779E-1	-1.831227022E-1
6.366666667E0	6.976102941E-3	-6.306595341E-2	1.123999056E-1	-3.201291672E-2	-1.077446609E-1
6.400000000E0	9.512867647E-3	-6.051109106E-2	4.775466826E-2	2.193675088E-2	4.241800681E-2
6.433333333E0	9.803970062E-3	-6.160350335E-2	2.855226668E-1	2.799424007E-1	5.617335266E-2
6.466666667E0	1.325775782E-2	-4.184826434E-2	4.180883356E-1	3.911080521E-1	1.477577340E-1
6.500000000E0	1.965448566E-2	-3.552963321E-2	3.241075263E-1	2.467821695E-1	2.101053294E-1
6.533333333E0	2.726477978E-2	-2.539611971E-2	2.516917573E-1	1.336842757E-1	2.132539686E-1
6.566666667E0	3.387141690E-2	-2.661734816E-2			
6.600000000E0		-2.159225820E-2		2.271515282E-1	
6.633333333E0	4.236269818E-2	-1.147391295E-2			
6.666666667E0	4.487754135E-2	-1.130011280E-2	6.531507548E-2	-1.343993654E-2	6.391734656E-2
6.700000000E0	4.662385461E-2	-1.236990872E-2	6.706558065E-2	-5.799073058E-2	3.368779119E-2
6.733333333E0	4.712339410E-2	-1.516616150E-2	1.179146620E-1	-1.168782365E-1	-1.559953015E-2
6.766666667E0	4.558388594E-2	-2.016179116E-2	2.025124491E-1	-1.832354793E-1	-8.623254112E-2
6.800000000E0	4.137455802E-2	-2.738186012E-2	2.942062745E-1	-2.444575456E-1	-1.637004592E-1
6.833333333E0	3.467052199E-2	-3.645896086E-2	1.137136818E-1	-8.865795990E-2	-7.120791786E-2
6.866666667E0	3.662736350E-2	-3.329239078E-2	1.081644828E-1	-3.585081154E-2	-1.020503535E-1
6.900000000E0	2.786716509E-2	-3.884901497E-2	2.964259706E-1	-1.929182020E-1	-2.250576001E-1
