质量_A
t	x	y	v	v_{y}	v_{x}
5.833333333E0	6.320323128E-2	-2.713214725E-2	4.975683947E-1	2.081482676E-1	-4.519387194E-1
5.866666667E0	5.454820946E-2	-1.412610283E-2	5.295901236E-1	3.001091639E-1	-4.363487009E-1
5.900000000E0	3.411331788E-2	-7.124869662E-3	5.694834219E-1	1.314138370E-1	-5.541135004E-1
5.933333333E0	1.760730944E-2	-5.365180368E-3	3.667171056E-1	9.582970788E-2	-3.539747203E-1
5.966666667E0	1.051500320E-2	-7.362224701E-4	3.767278648E-1	1.418093236E-1	-3.490186240E-1
6.000000000E0	-5.660598829E-3	4.088774541E-3	2.794271954E-1	-1.503171975E-2	-2.790225885E-1
6.033333333E0	-8.086502702E-3	-1.738337120E-3	1.144491270E-1	-1.143469830E-1	-4.834268674E-3
6.066666667E0	-5.982883407E-3	-3.534357661E-3	8.700773765E-2	-8.384018356E-2	2.326306153E-2
6.100000000E0	-6.535631934E-3	-7.327682691E-3	4.867633306E-2	2.068754523E-2	4.406144429E-2
6.133333333E0	-3.045453788E-3	-2.155187979E-3	3.573753231E-1	-1.385818909E-1	3.294118715E-1
6.166666667E0	1.542515950E-2	-1.656647542E-2	5.953285495E-1	-2.569618938E-1	5.370164495E-1
6.200000000E0	3.275564285E-2	-1.928598090E-2	3.266338092E-1	-1.175964456E-1	3.047305717E-1
6.233333333E0	3.574053095E-2	-2.440623846E-2	5.021200942E-1	4.588853767E-4	5.021198845E-1
6.266666667E0	6.623030181E-2	-1.925538854E-2	6.011574998E-1	-9.429498458E-2	5.937160899E-1
6.300000000E0	7.532160361E-2	-3.069257076E-2	2.758731277E-1	-1.271655971E-1	2.448160401E-1
6.333333333E0	8.255137115E-2	-2.773309502E-2	2.273518102E-1	5.110489722E-2	2.215335981E-1
6.366666667E0	9.009051015E-2	-2.728557761E-2	1.321513175E-1	6.012640903E-2	1.176808636E-1
6.400000000E0	9.039676206E-2	-2.372466775E-2	2.506428425E-1	2.371100045E-1	8.124457059E-2
6.433333333E0	9.550681486E-2	-1.147824398E-2			
6.466666667E0		-1.433684077E-2		-1.189723959E-1	
6.500000000E0	7.578116321E-2	-1.940973704E-2			
6.533333333E0	5.917715634E-2	-4.525904944E-3	4.383073634E-1	1.626824431E-1	-4.069984859E-1
6.566666667E0	4.864793082E-2	-8.564240836E-3	1.357297475E-1	1.004738591E-1	-9.125550936E-2
6.600000000E0	5.309345572E-2	2.172352329E-3	4.243535919E-2	2.548695508E-2	-3.392896742E-2
6.633333333E0	4.638599965E-2	-6.865110497E-3	1.690056784E-1	-1.360995554E-1	-1.001989537E-1
6.666666667E0	4.641352547E-2	-6.900951365E-3	1.422702282E-3	-1.413290237E-3	1.633783624E-4
